had_score;had_sd;rmsd;rmsd_sd;vdv;vdv_sd;elec;elec_sd;desolv;desolv_sd;rest_viol;rest_viol_sd;bur_surf_area;bur_surf_area_sd;z_score
-93.60;4.50;4.0;0.10;-61.3;10.10;-246.1;53.50;2.60;1.30;143.40;41.63;1730.30;45.00;-1.40
-91.20;10.70;3.50;2.70;-33.40;11.60;-360.50;69.80;0.50;7.00;137.60;42.33;1621.50;138.60;-1.30
-109.40;12.10;2.60;1.60;-77.90;6.10;-249.20;46.50;11.40;7.40;69.10;10.69;2297.00;191.90;-2.00
-97.90;4.90;5.70;0.40;-62.60;8.40;-268.30;73.80;3.30;2.20;150.30;36.04;1689.30;47.90;-1.50
-92.00;18.90;5.50;3.20;-41.30;4.00;-306.60;100.00;1.80;3.20;88.50;30.57;1852.60;113.70;-1.40
-165.6;18.1;3.3;0.3;-26.8;12.4;-793.3;79.3;8.3;3.6;114.6;50.32;1993.9;159.2;-0.6
-153.6;18.2;1;0.7;4.7;5;-845.3;91.6;1.4;6.1;93.5;45.86;1746.2;76.2;-1.2
-149.3;10;3;0.1;1.7;13.2;-809.7;69.9;2.2;6.4;87.3;48.4;1753.8;58.9;-0.5
-145.8;7.2;2.6;0.1;8.9;4.6;-820.1;73.8;0.7;6;85.8;45.92;1743.2;51.4;-0.6
-160.2;13.6;1.1;0.6;1;13.9;-874.4;45.6;2.3;3;113.7;49.65;1769.3;53.7;-1.6
-157.7;10.6;2.9;0.1;-13.5;2.5;-788;45;1.3;2.2;121.3;13.6;1646.5;36.9;-0.5
-164.8;20.9;1.6;1.8;3.1;14.3;-934.8;129.9;8.7;6.9;104;47.54;1778.6;88.2;-0.7
-162.8;23;1;0.7;-0.6;19.5;-912.3;167.6;10.3;4.2;99.4;40.53;1738.8;89.1;-1.7
-175.6;14.2;1.6;1.6;-7;13.8;-950;99.3;12;1.9;93.4;49.44;1725.6;104.9;-0.5
-164.7;17.7;4;2.3;-19.3;11.4;-792.1;135.8;0.4;3.4;125.8;26.74;1711.2;8.2;-0.6
-59;12;0.7;0;-24.4;13.2;-335.3;26.1;-13.4;1.9;123.5;35.75;1234.8;11.5;-1.6
-57.5;9.5;0.7;0;-22.7;10.3;-338.3;22.8;-13.3;1.8;123.1;35.59;1237.6;11.7;-1.7
-64.3;9.7;0.2;0.1;-24.7;6.3;-392.5;48.5;-12.6;0.3;121.7;42.94;1205.5;8.2;-1.4
-65.8;9.3;0.7;0.1;-29.7;4.4;-363.8;45.5;-12.8;0.8;130.1;30.73;1212;5;-1.9
-72.9;10.9;0.7;0.1;-34.4;11.3;-340.5;39.6;-14.8;1.4;104.6;21.86;1224;6.9;-2.4
